,Country ISO3,Admin 1 PCode,Admin 1 Name,Admin 2 PCode,Admin 2 Name,Admin 3 PCode,Admin 3 Name,Description,Cluster,Category,Population,In Need,Targeted,Affected,Reached,Info,Cluster Full
187623,HTI,,,HT0117,Cité Soleil,,,Final figures,ALL,total,287439.0,154679.0,137830.0,,,,All Sectors
187720,HTI,,,HT0118,Tabarre,,,Final figures,ALL,total,141693.0,43949.0,24083.0,,,,All Sectors
187816,HTI,,,HT0121,Léogâne,,,Final figures,ALL,total,233614.0,98601.0,56219.0,,,,All Sectors
187911,HTI,,,HT0122,Petit-Goâve,,,Final figures,ALL,total,194867.0,84791.0,40036.0,,,,All Sectors
187997,HTI,,,HT0123,Grand-Goâve,,,Final figures,ALL,total,157549.0,66916.0,31596.0,,,,All Sectors
188093,HTI,,,HT0131,Croix-Des-Bouquets,,,Final figures,ALL,total,129879.0,70407.0,57266.0,,,,All Sectors
188190,HTI,,,HT0132,Thomazeau,,,Final figures,ALL,total,54753.0,25962.0,15708.0,,,,All Sectors
188278,HTI,,,HT0133,Ganthier,,,Final figures,ALL,total,65036.0,39062.0,25677.0,,,,All Sectors
188374,HTI,,,HT0134,Cornillon / Grand Bois,,,Final figures,ALL,total,66185.0,31519.0,20064.0,,,,All Sectors
188459,HTI,,,HT0135,Fonds-Verrettes,,,Final figures,ALL,total,54717.0,21798.0,10143.0,,,,All Sectors
188531,HTI,,,HT0141,Arcahaie,,,Final figures,ALL,total,142752.0,56781.0,33291.0,,,,All Sectors
188627,HTI,,,HT0142,Cabaret,,,Final figures,ALL,total,65302.0,43939.0,31160.0,,,,All Sectors
188723,HTI,,,HT0151,Anse à Galets,,,Final figures,ALL,total,70156.0,40890.0,36546.0,,,,All Sectors
188818,HTI,,,HT0152,Pointe à Raquette,,,Final figures,ALL,total,26818.0,16026.0,14323.0,,,,All Sectors
188913,HTI,,,HT0211,Jacmel,,,Final figures,ALL,total,258099.0,148487.0,84011.0,,,,All Sectors
189008,HTI,,,HT0212,Marigot,,,Final figures,ALL,total,92869.0,41292.0,19967.0,,,,All Sectors
189103,HTI,,,HT0213,Cayes-Jacmel,,,Final figures,ALL,total,49845.0,25804.0,14424.0,,,,All Sectors
189198,HTI,,,HT0214,La Vallée,,,Final figures,ALL,total,47372.0,21845.0,10538.0,,,,All Sectors
189293,HTI,,,HT0221,Bainet,,,Final figures,ALL,total,113034.0,49729.0,22708.0,,,,All Sectors
189388,HTI,,,HT0222,Côtes de Fer,,,Final figures,ALL,total,63370.0,27221.0,12505.0,,,,All Sectors
189474,HTI,,,HT0231,Belle Anse,,,Final figures,ALL,total,95781.0,59751.0,43279.0,,,,All Sectors
189569,HTI,,,HT0232,Grand Gosier,,,Final figures,ALL,total,25416.0,27371.0,20668.0,,,,All Sectors
189664,HTI,,,HT0233,Thiotte,,,Final figures,ALL,total,46178.0,43960.0,36819.0,,,,All Sectors
189759,HTI,,,HT0234,Anse-à-Pître,,,Final figures,ALL,total,43459.0,77676.0,66465.0,,,,All Sectors
189854,HTI,,,HT0311,Cap-Haïtien,,,Final figures,ALL,total,303590.0,123785.0,44374.0,,,,All Sectors
189949,HTI,,,HT0312,Quartier Morin,,,Final figures,ALL,total,29881.0,13412.0,6324.0,,,,All Sectors
190044,HTI,,,HT0313,Limonade,,,Final figures,ALL,total,61261.0,33572.0,12747.0,,,,All Sectors
190139,HTI,,,HT0321,Acul du Nord,,,Final figures,ALL,total,59632.0,31745.0,43813.0,,,,All Sectors
190234,HTI,,,HT0322,Plaine du Nord,,,Final figures,ALL,total,43982.0,20455.0,20308.0,,,,All Sectors
190329,HTI,,,HT0323,Milot,,,Final figures,ALL,total,34193.0,15684.0,7395.0,,,,All Sectors
190424,HTI,,,HT0331,Grande Riviere Du Nord,,,Final figures,ALL,total,43816.0,22530.0,10016.0,,,,All Sectors
190519,HTI,,,HT0332,Bahon,,,Final figures,ALL,total,24534.0,12665.0,5631.0,,,,All Sectors
190614,HTI,,,HT0341,Saint-Raphaël,,,Final figures,ALL,total,56607.0,29281.0,13018.0,,,,All Sectors
190709,HTI,,,HT0342,Dondon,,,Final figures,ALL,total,36398.0,18849.0,8380.0,,,,All Sectors
190804,HTI,,,HT0343,Ranquitte,,,Final figures,ALL,total,29256.0,15091.0,6709.0,,,,All Sectors
190890,HTI,,,HT0344,Pignon,,,Final figures,ALL,total,46806.0,23566.0,10477.0,,,,All Sectors
190977,HTI,,,HT0345,La Victoire,,,Final figures,ALL,total,11101.0,5742.0,2553.0,,,,All Sectors
191063,HTI,,,HT0351,Borgne,,,Final figures,ALL,total,70765.0,32807.0,15469.0,,,,All Sectors
191158,HTI,,,HT0352,Port-Margot,,,Final figures,ALL,total,52745.0,24452.0,11530.0,,,,All Sectors
191244,HTI,,,HT0361,Limbé,,,Final figures,ALL,total,90050.0,41818.0,19718.0,,,,All Sectors
191339,HTI,,,HT0362,Bas Limbé,,,Final figures,ALL,total,22052.0,10245.0,4831.0,,,,All Sectors
191434,HTI,,,HT0371,Plaisance,,,Final figures,ALL,total,76929.0,34112.0,16085.0,,,,All Sectors
191528,HTI,,,HT0372,Pilate,,,Final figures,ALL,total,60535.0,26497.0,12494.0,,,,All Sectors
191621,HTI,,,HT0411,Fort-Liberté,,,Final figures,ALL,total,40129.0,14418.0,8295.0,,,,All Sectors
191716,HTI,,,HT0412,Ferrier,,,Final figures,ALL,total,17054.0,8454.0,8904.0,,,,All Sectors
191810,HTI,,,HT0413,Perches,,,Final figures,ALL,total,13700.0,6295.0,2784.0,,,,All Sectors
191905,HTI,,,HT0421,Ouanaminthe,,,Final figures,ALL,total,123320.0,45450.0,21664.0,,,,All Sectors
192000,HTI,,,HT0422,Capotille,,,Final figures,ALL,total,22559.0,10980.0,4669.0,,,,All Sectors
192086,HTI,,,HT0423,Mont-Organisé,,,Final figures,ALL,total,24682.0,11424.0,5052.0,,,,All Sectors
192181,HTI,,,HT0431,Trou du Nord,,,Final figures,ALL,total,57212.0,29796.0,19419.0,,,,All Sectors
192276,HTI,,,HT0432,Sainte Suzanne,,,Final figures,ALL,total,32812.0,15269.0,6753.0,,,,All Sectors
192371,HTI,,,HT0433,Terrier Rouge,,,Final figures,ALL,total,35373.0,16518.0,7305.0,,,,All Sectors
192466,HTI,,,HT0434,Caracol,,,Final figures,ALL,total,9005.0,4454.0,1858.0,,,,All Sectors
192561,HTI,,,HT0441,Vallières,,,Final figures,ALL,total,27514.0,12500.0,17955.0,,,,All Sectors
192656,HTI,,,HT0442,Carice,,,Final figures,ALL,total,15825.0,7861.0,3280.0,,,,All Sectors
192750,HTI,,,HT0443,Mombin Crochu,,,Final figures,ALL,total,40343.0,18901.0,8359.0,,,,All Sectors
192845,HTI,,,HT0511,Gonaïves,,,Final figures,ALL,total,366051.0,193381.0,76248.0,,,,All Sectors
192940,HTI,,,HT0512,Ennery,,,Final figures,ALL,total,52529.0,27900.0,25008.0,,,,All Sectors
193036,HTI,,,HT0513,L'Estère,,,Final figures,ALL,total,44802.0,22139.0,10523.0,,,,All Sectors
193123,HTI,,,HT0521,Gros Morne,,,Final figures,ALL,total,162808.0,83250.0,42689.0,,,,All Sectors
193219,HTI,,,HT0522,Terre Neuve,,,Final figures,ALL,total,32784.0,15321.0,7313.0,,,,All Sectors
193315,HTI,,,HT0523,Anse Rouge,,,Final figures,ALL,total,47668.0,21274.0,10112.0,,,,All Sectors
193410,HTI,,,HT0531,Saint-Marc,,,Final figures,ALL,total,281577.0,130717.0,62134.0,,,,All Sectors
193506,HTI,,,HT0532,Verrettes,,,Final figures,ALL,total,146485.0,80000.0,33745.0,,,,All Sectors
193602,HTI,,,HT0533,La Chapelle,,,Final figures,ALL,total,32609.0,15468.0,7353.0,,,,All Sectors
193698,HTI,,,HT0541,Dessalines,,,Final figures,ALL,total,185387.0,89175.0,42388.0,,,,All Sectors
193795,HTI,,,HT0542,Petite Rivière de l'Artibonite,,,Final figures,ALL,total,165494.0,83703.0,39787.0,,,,All Sectors
193882,HTI,,,HT0543,Grande Saline,,,Final figures,ALL,total,23598.0,11391.0,5415.0,,,,All Sectors
193977,HTI,,,HT0544,Desdunes,,,Final figures,ALL,total,37602.0,18152.0,8628.0,,,,All Sectors
194072,HTI,,,HT0551,Saint-Michel de l'Attalaye,,,Final figures,ALL,total,154615.0,81984.0,73486.0,,,,All Sectors
194168,HTI,,,HT0552,Marmelade,,,Final figures,ALL,total,39659.0,24412.0,18581.0,,,,All Sectors
194256,HTI,,,HT0611,Hinche,,,Final figures,ALL,total,163137.0,86213.0,30421.0,,,,All Sectors
194352,HTI,,,HT0612,Maïssade,,,Final figures,ALL,total,78577.0,32106.0,14835.0,,,,All Sectors
194449,HTI,,,HT0613,Thomonde,,,Final figures,ALL,total,85152.0,33706.0,15574.0,,,,All Sectors
194546,HTI,,,HT0614,Cerca Carvajal,,,Final figures,ALL,total,31774.0,12667.0,5853.0,,,,All Sectors
194643,HTI,,,HT0621,Mirebalais,,,Final figures,ALL,total,129573.0,92666.0,60398.0,,,,All Sectors
194740,HTI,,,HT0622,Saut d'Eau,,,Final figures,ALL,total,52389.0,25163.0,11235.0,,,,All Sectors
194836,HTI,,,HT0623,Boucan Carré,,,Final figures,ALL,total,79705.0,34419.0,15256.0,,,,All Sectors
194931,HTI,,,HT0631,Lascahobas,,,Final figures,ALL,total,65198.0,46838.0,27688.0,,,,All Sectors
195026,HTI,,,HT0632,Belladère,,,Final figures,ALL,total,123067.0,56397.0,26837.0,,,,All Sectors
195121,HTI,,,HT0633,Savanette,,,Final figures,ALL,total,46902.0,23291.0,9111.0,,,,All Sectors
195216,HTI,,,HT0641,Cerca La Source,,,Final figures,ALL,total,73041.0,30793.0,14228.0,,,,All Sectors
195311,HTI,,,HT0642,Thomassique,,,Final figures,ALL,total,85148.0,40724.0,15913.0,,,,All Sectors
195406,HTI,,,HT0711,Les Cayes,,,Final figures,ALL,total,207439.0,137197.0,76270.0,,,,All Sectors
195501,HTI,,,HT0712,Torbeck,,,Final figures,ALL,total,93827.0,45587.0,21669.0,,,,All Sectors
195596,HTI,,,HT0713,Chantal,,,Final figures,ALL,total,41237.0,18684.0,9318.0,,,,All Sectors
195691,HTI,,,HT0714,Camp-Perrin,,,Final figures,ALL,total,51550.0,26989.0,12828.0,,,,All Sectors
195786,HTI,,,HT0715,Maniche,,,Final figures,ALL,total,27507.0,14341.0,6817.0,,,,All Sectors
195881,HTI,,,HT0716,Île à Vache,,,Final figures,ALL,total,17491.0,8959.0,5747.0,,,,All Sectors
195976,HTI,,,HT0721,Port-Salut,,,Final figures,ALL,total,25431.0,15033.0,8240.0,,,,All Sectors
196071,HTI,,,HT0722,Saint Jean du Sud,,,Final figures,ALL,total,35362.0,22514.0,13283.0,,,,All Sectors
196165,HTI,,,HT0723,Arniquet,,,Final figures,ALL,total,35838.0,14718.0,7588.0,,,,All Sectors
196258,HTI,,,HT0731,Aquin,,,Final figures,ALL,total,123719.0,64429.0,61824.0,,,,All Sectors
196353,HTI,,,HT0732,Saint Louis du Sud,,,Final figures,ALL,total,80295.0,38901.0,18491.0,,,,All Sectors
196448,HTI,,,HT0733,Cavaillon,,,Final figures,ALL,total,63397.0,41034.0,17618.0,,,,All Sectors
196543,HTI,,,HT0741,Côteaux,,,Final figures,ALL,total,25395.0,11953.0,5539.0,,,,All Sectors
196639,HTI,,,HT0742,Port-à-Piment,,,Final figures,ALL,total,26647.0,18671.0,11631.0,,,,All Sectors
196735,HTI,,,HT0743,Roche à Bâteau,,,Final figures,ALL,total,28335.0,24498.0,15198.0,,,,All Sectors
196830,HTI,,,HT0751,Chardonnières,,,Final figures,ALL,total,32835.0,17451.0,9244.0,,,,All Sectors
196926,HTI,,,HT0752,Les Anglais,,,Final figures,ALL,total,39577.0,21987.0,11965.0,,,,All Sectors
197021,HTI,,,HT0753,Tiburon,,,Final figures,ALL,total,28474.0,21446.0,14666.0,,,,All Sectors
197115,HTI,,,HT0811,Jérémie,,,Final figures,ALL,total,155299.0,99595.0,77425.0,,,,All Sectors
197210,HTI,,,HT0812,Abricots,,,Final figures,ALL,total,47470.0,31057.0,21308.0,,,,All Sectors
197305,HTI,,,HT0813,Bonbon,,,Final figures,ALL,total,10653.0,6927.0,4870.0,,,,All Sectors
197392,HTI,,,HT0814,Moron,,,Final figures,ALL,total,36686.0,20870.0,18403.0,,,,All Sectors
197487,HTI,,,HT0815,Chambellan,,,Final figures,ALL,total,35368.0,29277.0,17187.0,,,,All Sectors
197583,HTI,,,HT0821,Anse d'Hainault,,,Final figures,ALL,total,49099.0,41488.0,26383.0,,,,All Sectors
197679,HTI,,,HT0822,Dame Marie,,,Final figures,ALL,total,41207.0,23216.0,21915.0,,,,All Sectors
197774,HTI,,,HT0823,Les Irois,,,Final figures,ALL,total,24756.0,14005.0,13220.0,,,,All Sectors
197869,HTI,,,HT0831,Corail,,,Final figures,ALL,total,28292.0,24955.0,17695.0,,,,All Sectors
197964,HTI,,,HT0832,Roseaux,,,Final figures,ALL,total,41589.0,22064.0,20765.0,,,,All Sectors
198059,HTI,,,HT0833,Beaumont,,,Final figures,ALL,total,35380.0,20642.0,19319.0,,,,All Sectors
198154,HTI,,,HT0834,Pestel,,,Final figures,ALL,total,48575.0,27962.0,26278.0,,,,All Sectors
198249,HTI,,,HT0911,Port-de-Paix,,,Final figures,ALL,total,210942.0,138288.0,120812.0,,,,All Sectors
198344,HTI,,,HT0912,La Tortue,,,Final figures,ALL,total,40156.0,25406.0,15917.0,,,,All Sectors
198430,HTI,,,HT0913,Bassin Bleu,,,Final figures,ALL,total,65669.0,41471.0,86586.0,,,,All Sectors
198525,HTI,,,HT0914,Chamsolme,,,Final figures,ALL,total,31537.0,19845.0,23103.0,,,,All Sectors
198611,HTI,,,HT0921,Saint-Louis du Nord,,,Final figures,ALL,total,120555.0,76052.0,69159.0,,,,All Sectors
198707,HTI,,,HT0922,Anse-à-Foleur,,,Final figures,ALL,total,31659.0,9267.0,37216.0,,,,All Sectors
198802,HTI,,,HT0931,Môle Saint Nicolas,,,Final figures,ALL,total,36005.0,22134.0,18047.0,,,,All Sectors
198897,HTI,,,HT0932,Baie de Henne,,,Final figures,ALL,total,28588.0,7339.0,45110.0,,,,All Sectors
198983,HTI,,,HT0933,Bombardopolis,,,Final figures,ALL,total,37868.0,23550.0,19756.0,,,,All Sectors
199077,HTI,,,HT0934,Jean Rabel,,,Final figures,ALL,total,156750.0,97012.0,17961.0,,,,All Sectors
199172,HTI,,,HT1011,Miragoâne,,,Final figures,ALL,total,70617.0,58834.0,38991.0,,,,All Sectors
199267,HTI,,,HT1012,Petite Rivière de Nippes,,,Final figures,ALL,total,34943.0,20452.0,17838.0,,,,All Sectors
199362,HTI,,,HT1013,Fonds des Nègres,,,Final figures,ALL,total,38319.0,21834.0,20474.0,,,,All Sectors
199457,HTI,,,HT1014,Paillant,,,Final figures,ALL,total,19644.0,11329.0,10624.0,,,,All Sectors
199552,HTI,,,HT1021,Anse-à-Veau,,,Final figures,ALL,total,37907.0,22389.0,21399.0,,,,All Sectors
199647,HTI,,,HT1022,Petit Trou de Nippes,,,Final figures,ALL,total,33793.0,19603.0,18642.0,,,,All Sectors
199742,HTI,,,HT1023,L'Asile,,,Final figures,ALL,total,45890.0,26847.0,25392.0,,,,All Sectors
199837,HTI,,,HT1024,Arnaud,,,Final figures,ALL,total,23479.0,13998.0,12873.0,,,,All Sectors
199932,HTI,,,HT1025,Plaisance du Sud,,,Final figures,ALL,total,32168.0,17809.0,16700.0,,,,All Sectors
200027,HTI,,,HT1031,Baradères,,,Final figures,ALL,total,45622.0,26960.0,25281.0,,,,All Sectors
200122,HTI,,,HT1032,Grand-Boucan,,,Final figures,ALL,total,6460.0,4303.0,3564.0,,,,All Sectors
200205,MLI,,,,,,,Final HNRP Caseload,ALL,total,23134540.0,6431534.0,4709012.0,,,,All Sectors
200270,MLI,,,ML0101,BAFOULABE,,,Final HNRP Caseload,ALL,total,387416.0,85017.0,68014.0,,,,All Sectors
200302,MLI,,,ML0102,DIEMA,,,Final HNRP Caseload,ALL,total,351144.0,95136.0,77161.0,,,,All Sectors
200350,MLI,,,ML0103,KAYES,,,Final HNRP Caseload,ALL,total,850903.0,211864.0,170661.0,,,,All Sectors
200383,MLI,,,ML0104,KENIEBA,,,Final HNRP Caseload,ALL,total,326733.0,68917.0,55133.0,,,,All Sectors
200415,MLI,,,ML0105,KITA,,,Final HNRP Caseload,ALL,total,717191.0,151665.0,121332.0,,,,All Sectors
200453,MLI,,,ML0106,NIORO,,,Final HNRP Caseload,ALL,total,379588.0,110026.0,64052.0,,,,All Sectors
200501,MLI,,,ML0107,YELIMANE,,,Final HNRP Caseload,ALL,total,292687.0,104767.0,50145.0,,,,All Sectors
200549,MLI,,,ML0201,BANAMBA,,,Final HNRP Caseload,ALL,total,385896.0,15739.0,10642.0,,,,All Sectors
200597,MLI,,,ML0202,DIOILA,,,Final HNRP Caseload,ALL,total,987821.0,50570.0,28231.0,,,,All Sectors
200638,MLI,,,ML0203,KANGABA,,,Final HNRP Caseload,ALL,total,202838.0,5389.0,4500.0,,,,All Sectors
200680,MLI,,,ML0204,KATI,,,Final HNRP Caseload,ALL,total,1932970.0,104998.0,77202.0,,,,All Sectors
200721,MLI,,,ML0205,KOLOKANI,,,Final HNRP Caseload,ALL,total,469730.0,115150.0,89859.0,,,,All Sectors
200759,MLI,,,ML0206,KOULIKORO,,,Final HNRP Caseload,ALL,total,425507.0,414750.0,330985.0,,,,All Sectors
200798,MLI,,,ML0207,NARA,,,Final HNRP Caseload,ALL,total,488729.0,92587.0,61431.0,,,,All Sectors
200842,MLI,,,ML0301,BOUGOUNI,,,Final HNRP Caseload,ALL,total,730911.0,211.0,176.0,,,,All Sectors
200849,MLI,,,ML0302,KADIOLO,,,Final HNRP Caseload,ALL,total,387991.0,,,,,,All Sectors
200856,MLI,,,ML0303,KOLONDIEBA,,,Final HNRP Caseload,ALL,total,321126.0,,,,,,All Sectors
200863,MLI,,,ML0304,KOUTIALA,,,Final HNRP Caseload,ALL,total,925228.0,4651.0,3856.0,,,,All Sectors
200901,MLI,,,ML0305,SIKASSO,,,Final HNRP Caseload,ALL,total,1171547.0,29100.0,15971.0,,,,All Sectors
200948,MLI,,,ML0306,YANFOLILA,,,Final HNRP Caseload,ALL,total,339065.0,,,,,,All Sectors
200955,MLI,,,ML0307,YOROSSO,,,Final HNRP Caseload,ALL,total,337295.0,234323.0,72752.0,,,,All Sectors
201001,MLI,,,ML0401,BAROUELI,,,Final HNRP Caseload,ALL,total,291839.0,94056.0,73154.0,,,,All Sectors
201049,MLI,,,ML0402,BLA,,,Final HNRP Caseload,ALL,total,408094.0,221938.0,153757.0,,,,All Sectors
201098,MLI,,,ML0403,MACINA,,,Final HNRP Caseload,ALL,total,339617.0,179197.0,139030.0,,,,All Sectors
201148,MLI,,,ML0404,NIONO,,,Final HNRP Caseload,ALL,total,524898.0,268819.0,182463.0,,,,All Sectors
201198,MLI,,,ML0405,SAN,,,Final HNRP Caseload,ALL,total,479930.0,333709.0,258465.0,,,,All Sectors
201247,MLI,,,ML0406,SEGOU,,,Final HNRP Caseload,ALL,total,1001419.0,96221.0,45385.0,,,,All Sectors
201297,MLI,,,ML0407,TOMINIAN,,,Final HNRP Caseload,ALL,total,318113.0,152665.0,112093.0,,,,All Sectors
201347,MLI,,,ML0501,BANDIAGARA,,,Final HNRP Caseload,ALL,total,321120.0,156243.0,100014.0,,,,All Sectors
201394,MLI,,,ML0502,BANKASS,,,Final HNRP Caseload,ALL,total,271250.0,152595.0,115501.0,,,,All Sectors
201444,MLI,,,ML0503,DJENNE,,,Final HNRP Caseload,ALL,total,213508.0,180964.0,144442.0,,,,All Sectors
201491,MLI,,,ML0504,DOUENTZA,,,Final HNRP Caseload,ALL,total,252655.0,113636.0,82992.0,,,,All Sectors
201541,MLI,,,ML0505,KORO,,,Final HNRP Caseload,ALL,total,371451.0,363384.0,288033.0,,,,All Sectors
201591,MLI,,,ML0506,MOPTI,,,Final HNRP Caseload,ALL,total,377924.0,293052.0,194584.0,,,,All Sectors
201639,MLI,,,ML0507,TENENKOU,,,Final HNRP Caseload,ALL,total,166907.0,133605.0,106741.0,,,,All Sectors
201685,MLI,,,ML0508,YOUWAROU,,,Final HNRP Caseload,ALL,total,111176.0,57333.0,29391.0,,,,All Sectors
201731,MLI,,,ML0601,DIRE,,,Final HNRP Caseload,ALL,total,180404.0,94969.0,50001.0,,,,All Sectors
201777,MLI,,,ML0602,GOUNDAM,,,Final HNRP Caseload,ALL,total,248951.0,108786.0,97325.0,,,,All Sectors
201827,MLI,,,ML0603,GOURMA-RHAROUS,,,Final HNRP Caseload,ALL,total,182660.0,121330.0,77345.0,,,,All Sectors
201876,MLI,,,ML0604,NIAFUNKE,,,Final HNRP Caseload,ALL,total,288620.0,176382.0,145524.0,,,,All Sectors
201923,MLI,,,ML0605,TOMBOUCTOU,,,Final HNRP Caseload,ALL,total,209467.0,151573.0,126861.0,,,,All Sectors
201971,MLI,,,ML0701,ANSONGO,,,Final HNRP Caseload,ALL,total,203272.0,149753.0,107294.0,,,,All Sectors
202021,MLI,,,ML0702,BOUREM,,,Final HNRP Caseload,ALL,total,179251.0,73722.0,63268.0,,,,All Sectors
202071,MLI,,,ML0703,GAO,,,Final HNRP Caseload,ALL,total,369001.0,303367.0,255696.0,,,,All Sectors
202121,MLI,,,ML0801,ABEIBARA,,,Final HNRP Caseload,ALL,total,13062.0,10352.0,8317.0,,,,All Sectors
202171,MLI,,,ML0802,KIDAL,,,Final HNRP Caseload,ALL,total,42456.0,37664.0,26854.0,,,,All Sectors
202220,MLI,,,ML0803,TESSALIT,,,Final HNRP Caseload,ALL,total,20242.0,16653.0,9688.0,,,,All Sectors
202270,MLI,,,ML0804,TIN-ESSAKO,,,Final HNRP Caseload,ALL,total,10177.0,5089.0,4071.0,,,,All Sectors
202319,MLI,,,ML0901,BAMAKO,,,Final HNRP Caseload,ALL,total,2995361.0,45242.0,37648.0,,,,All Sectors
202365,MLI,,,ML1001,MENAKA,,,Final HNRP Caseload,ALL,total,137062.0,231399.0,185119.0,,,,All Sectors
202416,MLI,,,ML1002,ANDERAMBOUKANE,,,Final HNRP Caseload,ALL,total,109425.0,27872.0,22449.0,,,,All Sectors
202459,MLI,,,ML1003,INEKAR,,,Final HNRP Caseload,ALL,total,32791.0,149582.0,134497.0,,,,All Sectors
202502,MLI,,,ML1004,TIDERMENE,,,Final HNRP Caseload,ALL,total,50121.0,35520.0,28909.0,,,,All Sectors
202549,MMR,,,,,,,Final caseload,ALL,total,57008150.0,19902649.0,5525241.0,,,,All Sectors
202679,MMR,MMR001,Kachin,,,,,Final caseload,ALL,total,2076531.0,984641.0,418709.0,,,,All Sectors
202776,MMR,,,,,MMR001001,Myitkyina,Final caseload,ALL,total,401665.0,171554.0,57056.0,,,,All Sectors
202873,MMR,,,,,MMR001002,Waingmaw,Final caseload,ALL,total,159015.0,95226.0,59924.0,,,,All Sectors
202969,MMR,,,,,MMR001003,Injangyang,Final caseload,ALL,total,2176.0,1245.0,697.0,,,,All Sectors
203056,MMR,,,,,MMR001004,Tanai,Final caseload,ALL,total,75658.0,29887.0,7414.0,,,,All Sectors
203149,MMR,,,,,MMR001005,Chipwi,Final caseload,ALL,total,24869.0,13388.0,7351.0,,,,All Sectors
203236,MMR,,,,,MMR001006,Tsawlaw,Final caseload,ALL,total,8132.0,3182.0,745.0,,,,All Sectors
203332,MMR,,,,,MMR001007,Mohnyin,Final caseload,ALL,total,265810.0,109918.0,32127.0,,,,All Sectors
203427,MMR,,,,,MMR001008,Mogaung,Final caseload,ALL,total,168769.0,69186.0,23011.0,,,,All Sectors
203521,MMR,,,,,MMR001009,Hpakant,Final caseload,ALL,total,415073.0,177972.0,59908.0,,,,All Sectors
203618,MMR,,,,,MMR001010,Bhamo,Final caseload,ALL,total,172677.0,89466.0,47650.0,,,,All Sectors
203715,MMR,,,,,MMR001011,Shwegu,Final caseload,ALL,total,119882.0,63550.0,31745.0,,,,All Sectors
203812,MMR,,,,,MMR001012,Momauk,Final caseload,ALL,total,80310.0,63484.0,43203.0,,,,All Sectors
203908,MMR,,,,,MMR001013,Mansi,Final caseload,ALL,total,67299.0,50611.0,35932.0,,,,All Sectors
204004,MMR,,,,,MMR001014,Puta-O,Final caseload,ALL,total,77069.0,30169.0,7187.0,,,,All Sectors
204084,MMR,,,,,MMR001015,Sumprabum,Final caseload,ALL,total,3222.0,2583.0,2113.0,,,,All Sectors
204179,MMR,,,,,MMR001016,Machanbaw,Final caseload,ALL,total,11332.0,4292.0,858.0,,,,All Sectors
204247,MMR,,,,,MMR001017,Nawngmun,Final caseload,ALL,total,9027.0,3419.0,684.0,,,,All Sectors
204315,MMR,,,,,MMR001018,Khaunglanhpu,Final caseload,ALL,total,14546.0,5509.0,1102.0,,,,All Sectors
204385,MMR,MMR002,Kayah,,,,,Final caseload,ALL,total,362175.0,246332.0,198054.0,,,,All Sectors
204482,MMR,,,,,MMR002001,Loikaw,Final caseload,ALL,total,161214.0,101512.0,87578.0,,,,All Sectors
204579,MMR,,,,,MMR002002,Demoso,Final caseload,ALL,total,98480.0,78956.0,58507.0,,,,All Sectors
204676,MMR,,,,,MMR002003,Hpruso,Final caseload,ALL,total,36601.0,25033.0,19384.0,,,,All Sectors
204772,MMR,,,,,MMR002004,Shadaw,Final caseload,ALL,total,8454.0,6693.0,4979.0,,,,All Sectors
204857,MMR,,,,,MMR002005,Bawlake,Final caseload,ALL,total,13702.0,7270.0,6107.0,,,,All Sectors
204942,MMR,,,,,MMR002006,Hpasawng,Final caseload,ALL,total,31748.0,15513.0,13419.0,,,,All Sectors
205026,MMR,,,,,MMR002007,Mese,Final caseload,ALL,total,11976.0,11355.0,8081.0,,,,All Sectors
205097,MMR,MMR003,Kayin,,,,,Final caseload,ALL,total,1668737.0,900982.0,449768.0,,,,All Sectors
205194,MMR,,,,,MMR003001,Hpa-An,Final caseload,ALL,total,467150.0,233938.0,103846.0,,,,All Sectors
205291,MMR,,,,,MMR003002,Hlaingbwe,Final caseload,ALL,total,291546.0,136471.0,52597.0,,,,All Sectors
205386,MMR,,,,,MMR003003,Hpapun,Final caseload,ALL,total,54394.0,51470.0,43178.0,,,,All Sectors
205462,MMR,,,,,MMR003004,Thandaunggyi,Final caseload,ALL,total,105004.0,58710.0,31212.0,,,,All Sectors
205552,MMR,,,,,MMR003005,Myawaddy,Final caseload,ALL,total,228365.0,151586.0,97842.0,,,,All Sectors
205649,MMR,,,,,MMR003006,Kawkareik,Final caseload,ALL,total,243145.0,126082.0,55345.0,,,,All Sectors
205746,MMR,,,,,MMR003007,Kyainseikgyi,Final caseload,ALL,total,279133.0,142724.0,65748.0,,,,All Sectors
205843,MMR,MMR004,Chin,,,,,Final caseload,ALL,total,546760.0,282195.0,167272.0,,,,All Sectors
205940,MMR,,,,,MMR004001,Falam,Final caseload,ALL,total,55031.0,29603.0,17458.0,,,,All Sectors
206036,MMR,,,,,MMR004002,Hakha,Final caseload,ALL,total,55367.0,27927.0,16384.0,,,,All Sectors
206122,MMR,,,,,MMR004003,Thantlang,Final caseload,ALL,total,57649.0,32180.0,18519.0,,,,All Sectors
206209,MMR,,,,,MMR004004,Tedim,Final caseload,ALL,total,100074.0,40356.0,23262.0,,,,All Sectors
206302,MMR,,,,,MMR004005,Tonzang,Final caseload,ALL,total,36349.0,14641.0,8338.0,,,,All Sectors
206378,MMR,,,,,MMR004006,Mindat,Final caseload,ALL,total,48533.0,31581.0,20144.0,,,,All Sectors
206465,MMR,,,,,MMR004007,Matupi,Final caseload,ALL,total,58768.0,34849.0,20412.0,,,,All Sectors
