,Country ISO3,Admin 1 PCode,Admin 1 Name,Admin 2 PCode,Admin 2 Name,Admin 3 PCode,Admin 3 Name,Description,Cluster,Category,Population,In Need,Targeted,Affected,Reached,Info,Cluster Full
144536,BFA,,,,,BF570409,Nako,HNRP 2025,ALL,total,34429.0,4672.0,,,,,All Sectors
144569,BFA,,,,,BF570410,Périgban,HNRP 2025,ALL,total,10856.0,1567.0,,,,,All Sectors
144622,CAF,,,,,,,CAR HNRP 2025,ALL,total,5296124.0,2440338.0,1772631.0,,,,All Sectors
144710,CAF,,,CF112,Damara,,,CAR HNRP 2025,ALL,total,61554.0,11306.0,4465.0,,,,All Sectors
144764,CAF,,,CF113,Bogangolo,,,CAR HNRP 2025,ALL,total,10630.0,4766.0,2439.0,,,,All Sectors
144825,CAF,,,CF116,Yaloké,,,CAR HNRP 2025,ALL,total,89667.0,40350.0,22192.0,,,,All Sectors
144872,CAF,,,CF121,Mbaïki,,,CAR HNRP 2025,ALL,total,170482.0,76963.0,42194.0,,,,All Sectors
144940,CAF,,,CF122,Mongoumba,,,CAR HNRP 2025,ALL,total,35483.0,15967.0,8782.0,,,,All Sectors
145008,CAF,,,CF123,Boda,,,CAR HNRP 2025,ALL,total,67014.0,23495.0,10455.0,,,,All Sectors
145076,CAF,,,CF124,Boganangone,,,CAR HNRP 2025,ALL,total,40949.0,15922.0,5353.0,,,,All Sectors
145144,CAF,,,CF125,Boganda,,,CAR HNRP 2025,ALL,total,20752.0,8229.0,4195.0,,,,All Sectors
145205,CAF,,,CF126,Moboma,,,CAR HNRP 2025,ALL,total,26608.0,15850.0,6585.0,,,,All Sectors
145273,CAF,,,CF211,Berbérati,,,CAR HNRP 2025,ALL,total,195456.0,89509.0,49456.0,,,,All Sectors
145341,CAF,,,CF311,Bozoum,,,CAR HNRP 2025,ALL,total,78639.0,53536.0,45070.0,,,,All Sectors
145416,CAF,,,CF312,Bocaranga,,,CAR HNRP 2025,ALL,total,107062.0,76057.0,66615.0,,,,All Sectors
145491,CAF,,,CF313,Koui,,,CAR HNRP 2025,ALL,total,43486.0,30306.0,22900.0,,,,All Sectors
145566,CAF,,,CF316,Bossemtélé,,,CAR HNRP 2025,ALL,total,25461.0,12786.0,7841.0,,,,All Sectors
145641,CAF,,,CF321,Bossangoa,,,CAR HNRP 2025,ALL,total,185031.0,93024.0,58248.0,,,,All Sectors
145709,CAF,,,CF322,Nana-Bakassa,,,CAR HNRP 2025,ALL,total,61571.0,31690.0,23017.0,,,,All Sectors
145777,CAF,,,CF323,Markounda,,,CAR HNRP 2025,ALL,total,41384.0,23762.0,23041.0,,,,All Sectors
145845,CAF,,,CF324,Nangha Boguila,,,CAR HNRP 2025,ALL,total,41661.0,27624.0,27080.0,,,,All Sectors
145913,CAF,,,CF331,Batangafo,,,CAR HNRP 2025,ALL,total,93770.0,75035.0,68534.0,,,,All Sectors
145981,CAF,,,CF332,Kabo,,,CAR HNRP 2025,ALL,total,17039.0,13048.0,11736.0,,,,All Sectors
146056,CAF,,,CF333,Bouca,,,CAR HNRP 2025,ALL,total,85416.0,40708.0,27445.0,,,,All Sectors
146124,CAF,,,CF334,Sido,,,CAR HNRP 2025,ALL,total,42932.0,36294.0,26104.0,,,,All Sectors
146192,CAF,,,CF341,Paoua,,,CAR HNRP 2025,ALL,total,255603.0,115864.0,63481.0,,,,All Sectors
146267,CAF,,,CF342,Ngaoundaye,,,CAR HNRP 2025,ALL,total,42933.0,17251.0,14969.0,,,,All Sectors
146342,CAF,,,CF343,Ndim,,,CAR HNRP 2025,ALL,total,53699.0,28109.0,28109.0,,,,All Sectors
146417,CAF,,,CF344,Kodi,,,CAR HNRP 2025,ALL,total,46710.0,21956.0,14249.0,,,,All Sectors
146485,CAF,,,CF345,Taley,,,CAR HNRP 2025,ALL,total,70600.0,48111.0,40894.0,,,,All Sectors
146560,CAF,,,CF411,Sibut,,,CAR HNRP 2025,ALL,total,64700.0,26738.0,16998.0,,,,All Sectors
146628,CAF,,,CF412,Dékoa,,,CAR HNRP 2025,ALL,total,61553.0,29778.0,19419.0,,,,All Sectors
146696,CAF,,,CF413,Mala,,,CAR HNRP 2025,ALL,total,21158.0,10766.0,8752.0,,,,All Sectors
146761,CAF,,,CF414,Ndjoukou,,,CAR HNRP 2025,ALL,total,50128.0,25773.0,16280.0,,,,All Sectors
146829,CAF,,,CF421,Kaga-Bandoro,,,CAR HNRP 2025,ALL,total,159220.0,68977.0,67993.0,,,,All Sectors
146897,CAF,,,CF422,Mbrès,,,CAR HNRP 2025,ALL,total,37055.0,18514.0,17713.0,,,,All Sectors
146965,CAF,,,CF423,Nana-Outa,,,CAR HNRP 2025,ALL,total,35930.0,18391.0,18392.0,,,,All Sectors
147033,CAF,,,CF431,Bambari,,,CAR HNRP 2025,ALL,total,222869.0,116338.0,83825.0,,,,All Sectors
147108,CAF,,,CF432,Bakala,,,CAR HNRP 2025,ALL,total,11828.0,10820.0,6921.0,,,,All Sectors
147183,CAF,,,CF434,Kouango,,,CAR HNRP 2025,ALL,total,110916.0,55755.0,55458.0,,,,All Sectors
147251,CAF,,,CF435,Ippy,,,CAR HNRP 2025,ALL,total,61025.0,53747.0,50026.0,,,,All Sectors
147326,CAF,,,CF511,Ndélé,,,CAR HNRP 2025,ALL,total,74767.0,37735.0,32038.0,,,,All Sectors
147394,CAF,,,CF512,Bamingui,,,CAR HNRP 2025,ALL,total,10705.0,4966.0,4844.0,,,,All Sectors
147461,CAF,,,CF521,Bria,,,CAR HNRP 2025,ALL,total,115074.0,73740.0,73740.0,,,,All Sectors
147529,CAF,,,CF522,Ouadda,,,CAR HNRP 2025,ALL,total,9261.0,8500.0,6237.0,,,,All Sectors
147597,CAF,,,CF523,Yalinga,,,CAR HNRP 2025,ALL,total,5129.0,3768.0,3207.0,,,,All Sectors
147672,CAF,,,CF531,Birao,,,CAR HNRP 2025,ALL,total,32164.0,27325.0,20995.0,,,,All Sectors
147740,CAF,,,CF532,Ouanda-Djallé,,,CAR HNRP 2025,ALL,total,7420.0,7321.0,4915.0,,,,All Sectors
147794,CAF,,,CF533,Ouandja,,,CAR HNRP 2025,ALL,total,49604.0,47079.0,35472.0,,,,All Sectors
147862,CAF,,,CF611,Mobaye,,,CAR HNRP 2025,ALL,total,84307.0,39252.0,28883.0,,,,All Sectors
147930,CAF,,,CF612,Alindao,,,CAR HNRP 2025,ALL,total,129350.0,76616.0,52239.0,,,,All Sectors
148005,CAF,,,CF613,Kembé,,,CAR HNRP 2025,ALL,total,47637.0,27588.0,23258.0,,,,All Sectors
148066,CAF,,,CF615,Zangba,,,CAR HNRP 2025,ALL,total,52567.0,37142.0,29628.0,,,,All Sectors
148134,CAF,,,CF616,Satéma,,,CAR HNRP 2025,ALL,total,38376.0,34901.0,22383.0,,,,All Sectors
148202,CAF,,,CF621,Bangassou,,,CAR HNRP 2025,ALL,total,115455.0,52595.0,51956.0,,,,All Sectors
148270,CAF,,,CF622,Ouango,,,CAR HNRP 2025,ALL,total,65055.0,29880.0,29275.0,,,,All Sectors
148338,CAF,,,CF623,Gambo,,,CAR HNRP 2025,ALL,total,34565.0,18359.0,17318.0,,,,All Sectors
148406,CAF,,,CF624,Rafaï,,,CAR HNRP 2025,ALL,total,22774.0,19309.0,16534.0,,,,All Sectors
148474,CAF,,,CF625,Bakouma,,,CAR HNRP 2025,ALL,total,29799.0,19655.0,19655.0,,,,All Sectors
148535,CAF,,,CF631,Obo,,,CAR HNRP 2025,ALL,total,16513.0,15011.0,14450.0,,,,All Sectors
